Project,Country,City,Latitude,Longitude
Vaulta (prev. EOS) (EOS),Canada,Calgary,51.044700,-114.071900
FTX Token (FTT),Antigua and Barbuda,Saint John's,17.127400,-61.846800
pump.fun (PUMP),United States,Solana Beach,32.991200,-117.271100
Terra Classic (LUNC),Not Verified,Not Verified,,
UNUS SED LEO (LEO),Taiwan,Taipei,25.033000,121.565400
Celsius (CEL),United States,Wilmington,39.739100,-75.539800
Flow (FLOW),Canada,Vancouver,49.282700,-123.120700
World Liberty Financial (WLFI),United States,Washington,38.907200,-77.036900
BitDAO (BIT),Not Verified,Not Verified,,
Near Protocol (NEAR),Switzerland,Bern,46.948000,7.447400
Avalanche (AVAX),United States,New York,40.712800,-74.006000
Polkadot (DOT),Switzerland,Zug,47.166200,8.515500
Polygon (MATIC),Cayman Islands,Camana Bay,19.322200,-81.380600
Flying Tulip (FT),United States,Nyack,41.090700,-73.917900
Monad (MON),Cayman Islands,George Town,19.286600,-81.374400
Sui (SUI),United States,Palo Alto,37.441900,-122.143000
Hashkey (HSK),Hong Kong,Central,22.281900,114.158200
Solana (SOL),Switzerland,Zug,47.166200,8.515500
Immutable (IMX),Australia,Sydney,-33.868800,151.209300
Dragon Coins (DRG),Thailand,Phuket,7.880400,98.392300
LayerZero (ZRO),Canada,Vancouver,49.282700,-123.120700
Axie Infinity (AXS),Singapore,Singapore,1.352100,103.819800
OneFootball (OFC),Germany,Berlin,52.520000,13.405000
Huobi Token (HT),Seychelles,Victoria,-4.619100,55.451300
Hedera (HBAR),United States,Richardson,32.948300,-96.729900
Tezos (XTZ),Switzerland,Zug,47.166200,8.515500
SIRIN LABS (SRN),Switzerland,Schaffhausen,47.695900,8.638000
Tribal Token (TRIBL),United States,San Francisco,37.774900,-122.419400
Filecoin (FIL),United States,San Francisco,37.774900,-122.419400
KuCoin Token (KCS),Seychelles,Mahé,-4.682700,55.480400
Unizen (ZCX),Liechtenstein,Vaduz,47.141000,9.520900
Republic (NOTE),United States,New York,40.712800,-74.006000
Uniswap (UNI),United States,New York City,40.712800,-74.006000
Zama (ZAMA),Switzerland,Zug,47.166200,8.515500
Aztec (AZTEC),Not Verified,Not Verified,,
Gari Network (GARI),United Kingdom,London,51.507400,-0.127800
Jupiter (JUP),Puerto Rico,San Juan,18.465500,-66.105700
Blur (BLUR),United States,San Francisco,37.774900,-122.419400
Braintrust (BTRST),United States,San Francisco,37.774900,-122.419400
MobileGo (MGO),Serbia,Belgrade,44.815332,20.445659
Aethir (ATH),Singapore,Singapore,1.352100,103.819800
Pintu Token (PTU),Indonesia,Jakarta,-6.175405,106.827168
Polymath (POLY),Barbados,"Haggatt Hall, Saint George",13.110120,-59.574050
Bankera (BNK),Lithuania,Vilnius,54.687046,25.282911
Bancor (BNT),Israel,Tel Aviv,32.085300,34.781806
Data Ownership Protocol (DOP),United Kingdom,Dagenham,51.541327,0.148114
H2O Securities (H2ON),United States,Wilmington,39.739100,-75.539800
Zentry (ZENT),Thailand,Bangkok,13.756300,100.501800
Lido (LDO),Latvia,Riga,56.949398,24.105185
Cere Network (CERE),United States,San Francisco,37.774900,-122.419400
