Country,City,Latitude,Longitude
Canada,Calgary,51.044700,-114.071900
Antigua and Barbuda,Saint John's,17.127400,-61.846800
United States,Solana Beach,32.991200,-117.271100
Taiwan,Taipei,25.033000,121.565400
United States,Wilmington,39.739100,-75.539800
Canada,Vancouver,49.282700,-123.120700
United States,Washington,38.907200,-77.036900
Switzerland,Bern,46.948000,7.447400
United States,New York,40.712800,-74.006000
Switzerland,Zug,47.166200,8.515500
Cayman Islands,Camana Bay,19.322200,-81.380600
United States,Nyack,41.090700,-73.917900
Cayman Islands,George Town,19.286600,-81.374400
United States,Palo Alto,37.441900,-122.143000
Hong Kong,Central,22.281900,114.158200
Australia,Sydney,-33.868800,151.209300
Thailand,Phuket,7.880400,98.392300
Singapore,Singapore,1.352100,103.819800
Germany,Berlin,52.520000,13.405000
Seychelles,Victoria,-4.619100,55.451300
United States,Richardson,32.948300,-96.729900
Switzerland,Schaffhausen,47.695900,8.638000
United States,San Francisco,37.774900,-122.419400
Seychelles,Mahé,-4.682700,55.480400
Liechtenstein,Vaduz,47.141000,9.520900
United States,New York City,40.712800,-74.006000
United Kingdom,London,51.507400,-0.127800
Puerto Rico,San Juan,18.465500,-66.105700
Serbia,Belgrade,44.815332,20.445659
Indonesia,Jakarta,-6.175405,106.827168
Barbados,"Haggatt Hall, Saint George",13.110120,-59.574050
Lithuania,Vilnius,54.687046,25.282911
Israel,Tel Aviv,32.085300,34.781806
United Kingdom,Dagenham,51.541327,0.148114
Thailand,Bangkok,13.756300,100.501800
Latvia,Riga,56.949398,24.105185
