Project,Country,Region
Vaulta (prev. EOS) (EOS),Canada,North America
FTX Token (FTT),Antigua and Barbuda,Caribbean
pump.fun (PUMP),United States,North America
Terra Classic (LUNC),Not Verified,Not Classified
UNUS SED LEO (LEO),Taiwan,Asia
Celsius (CEL),United States,North America
Flow (FLOW),Canada,North America
World Liberty Financial (WLFI),United States,North America
BitDAO (BIT),Not Verified,Not Classified
Near Protocol (NEAR),Switzerland,Europe
Avalanche (AVAX),United States,North America
Polkadot (DOT),Switzerland,Europe
Polygon (MATIC),Cayman Islands,Caribbean
Flying Tulip (FT),United States,North America
Monad (MON),Cayman Islands,Caribbean
Sui (SUI),United States,North America
Hashkey (HSK),Hong Kong,Asia
Solana (SOL),Switzerland,Europe
Immutable (IMX),Australia,Oceania
Dragon Coins (DRG),Thailand,Asia
LayerZero (ZRO),Canada,North America
Axie Infinity (AXS),Singapore,Asia
OneFootball (OFC),Germany,Europe
Huobi Token (HT),Seychelles,Africa
Hedera (HBAR),United States,North America
Tezos (XTZ),Switzerland,Europe
SIRIN LABS (SRN),Switzerland,Europe
Tribal Token (TRIBL),United States,North America
Filecoin (FIL),United States,North America
KuCoin Token (KCS),Seychelles,Africa
Unizen (ZCX),Liechtenstein,Europe
Republic (NOTE),United States,North America
Uniswap (UNI),United States,North America
Zama (ZAMA),Switzerland,Europe
Aztec (AZTEC),Not Verified,Not Classified
Gari Network (GARI),United Kingdom,Europe
Jupiter (JUP),Puerto Rico,Caribbean
Blur (BLUR),United States,North America
Braintrust (BTRST),United States,North America
MobileGo (MGO),Serbia,Europe
Aethir (ATH),Singapore,Asia
Pintu Token (PTU),Indonesia,Asia
Polymath (POLY),Barbados,Caribbean
Bankera (BNK),Lithuania,Europe
Bancor (BNT),Israel,Asia
Data Ownership Protocol (DOP),United Kingdom,Europe
H2O Securities (H2ON),United States,North America
Zentry (ZENT),Thailand,Asia
Lido (LDO),Latvia,Europe
Cere Network (CERE),United States,North America
